Wall time,Step,Value
1756236541.6085904,0,0.4444444477558136
1756236544.5951152,1,0.6666666865348816
1756236547.820305,2,0.7407407164573669
1756236550.7308633,3,0.6296296119689941
1756236553.5917454,4,0.7407407164573669
1756236556.5245879,5,0.7037037014961243
1756236559.6523426,6,0.6666666865348816
1756236562.7619333,7,0.7037037014961243
1756236565.7220066,8,0.7407407164573669
1756236568.6834717,9,0.7777777910232544
1756236571.7376223,10,0.8148148059844971
1756236575.043551,11,0.7777777910232544
1756236577.9359217,12,0.8148148059844971
1756236580.844207,13,0.7407407164573669
1756236583.7978327,14,0.8518518805503845
1756236586.8355699,15,0.7407407164573669
1756236589.9474945,16,0.8518518805503845
1756236592.8222485,17,0.7407407164573669
1756236595.7818596,18,0.7777777910232544
1756236598.6888783,19,0.8148148059844971
1756236601.9749978,20,0.7777777910232544
1756236604.9394572,21,0.8518518805503845
1756236607.8572962,22,0.7777777910232544
1756236610.679793,23,0.8148148059844971
1756236613.7958403,24,0.7777777910232544
1756236617.0586312,25,0.7407407164573669
1756236620.0260396,26,0.8148148059844971
1756236622.9860606,27,0.8148148059844971
1756236625.9240396,28,0.7037037014961243
1756236629.1256216,29,0.7777777910232544
1756236632.0827093,30,0.8518518805503845
1756236634.9555929,31,0.8148148059844971
1756236637.9091053,32,0.7777777910232544
1756236640.9437523,33,0.8148148059844971
1756236644.128293,34,0.8518518805503845
1756236647.144084,35,0.8148148059844971
1756236650.0528848,36,0.8148148059844971
1756236653.0290427,37,0.8518518805503845
1756236656.2992663,38,0.8518518805503845
1756236659.2315953,39,0.8148148059844971
1756236662.2191808,40,0.7407407164573669
1756236665.2485757,41,0.7037037014961243
1756236668.4229226,42,0.8148148059844971
1756236671.5585222,43,0.8148148059844971
1756236674.6037123,44,0.8518518805503845
1756236677.5841122,45,0.8148148059844971
1756236680.666084,46,0.8888888955116272
1756236684.0083525,47,0.8888888955116272
1756236687.0629368,48,0.8518518805503845
1756236690.061533,49,0.9259259104728699
1756236693.0973697,50,0.9629629850387573
1756236696.400037,51,0.9259259104728699
1756236699.4894998,52,0.9259259104728699
1756236702.533268,53,0.9629629850387573
1756236705.5186,54,0.9259259104728699
1756236708.684214,55,0.8888888955116272
1756236711.9720414,56,0.9259259104728699
1756236714.9010131,57,1.0
1756236717.7972019,58,1.0
1756236720.7918842,59,0.9629629850387573
1756236724.1243067,60,1.0
1756236727.1544688,61,0.9629629850387573
1756236730.0859466,62,0.9629629850387573
1756236733.0730877,63,1.0
1756236736.1244552,64,0.8888888955116272
1756236739.3633482,65,1.0
1756236742.2524815,66,0.9259259104728699
1756236745.284145,67,0.9629629850387573
1756236748.2152681,68,0.9259259104728699
1756236751.448769,69,0.9259259104728699
1756236754.3220956,70,1.0
1756236757.313224,71,0.9629629850387573
1756236760.2164898,72,0.9629629850387573
1756236763.350094,73,0.9629629850387573
1756236766.4430504,74,0.9259259104728699
1756236769.4409401,75,1.0
1756236772.3574398,76,1.0
1756236775.3765304,77,0.9629629850387573
1756236778.5612566,78,0.9629629850387573
1756236781.4744954,79,1.0
1756236784.399539,80,0.9629629850387573
1756236787.3112588,81,0.9629629850387573
1756236790.5555537,82,1.0
1756236793.6719637,83,0.9259259104728699
1756236796.6487622,84,1.0
1756236799.6975186,85,1.0
1756236802.845588,86,0.9629629850387573
1756236806.1094077,87,0.8888888955116272
1756236809.0183787,88,0.9259259104728699
1756236811.9430974,89,0.9629629850387573
1756236814.969739,90,0.8888888955116272
1756236818.1814036,91,0.8518518805503845
1756236821.0688872,92,1.0
1756236823.9168987,93,1.0
1756236826.8261309,94,1.0
1756236829.899181,95,0.9629629850387573
1756236832.9787068,96,1.0
1756236835.9777527,97,1.0
1756236838.9615285,98,1.0
1756236841.9631639,99,1.0
